Price,usable_area_sqft,bedroom,Bathroom,bathroom_ratio,balconies,Floor No,floors,floor_ratio,area_price_mean,city_price_mean,amenity_count,luxury_score,Facing,Maintenance Charges,isPrimeLocationProperty_Y
4645000.0,528.0,2,2.0,1.0,1.0,11.0,14.0,0.7857142857142857,5983742.342391305,11238531.74308094,89,5,East,1350.0,True
3519000.0,420.0,1,2.0,2.0,1.0,8.0,14.0,0.5714285714285714,5983742.342391305,11238531.74308094,90,5,East,1350.0,True
4300000.0,460.0,1,2.0,2.0,1.0,7.0,18.0,0.3888888888888889,5983742.342391305,11238531.74308094,90,5,North - East,2000.0,True
8400000.0,792.0,2,2.0,1.0,2.0,10.0,30.0,0.3333333333333333,5983742.342391305,11238531.74308094,89,5,East,3000.0,True
6699000.0,604.0,2,2.0,1.0,2.0,18.0,27.0,0.6666666666666666,5983742.342391305,11238531.74308094,90,5,North - East,0.0,True
8800000.0,763.0,2,2.0,1.0,4.0,5.0,14.0,0.3571428571428571,5983742.342391305,11238531.74308094,90,5,East,3100.0,True
6900000.0,541.0,2,2.0,1.0,2.0,7.0,33.0,0.5333333333333333,5983742.342391305,11238531.74308094,90,5,East,0.0,True
4300000.0,427.0,1,2.0,2.0,2.0,7.0,33.0,0.5333333333333333,5983742.342391305,11238531.74308094,90,5,East,0.0,True
9900000.0,700.0,2,2.0,1.0,2.0,21.0,36.0,0.5833333333333334,5983742.342391305,11238531.74308094,90,5,North - East,0.0,True
4410000.0,520.0,1,2.0,2.0,2.0,9.0,27.0,0.3333333333333333,5983742.342391305,11238531.74308094,90,5,East,1400.0,True
7604000.0,593.0,2,2.0,1.0,2.0,7.0,21.0,0.5333333333333333,5983742.342391305,11238531.74308094,90,5,North - East,6.0,True
5600000.0,490.0,2,2.0,1.0,3.0,14.0,22.0,0.6363636363636364,5983742.342391305,11238531.74308094,21,0,North - West,2500.0,True
3650000.0,400.0,1,1.0,1.0,2.0,1.0,22.0,0.0454545454545454,5983742.342391305,11238531.74308094,89,5,East,800.0,True
7300000.0,758.0,2,2.0,1.0,3.0,11.0,17.0,0.6470588235294118,5983742.342391305,11238531.74308094,89,5,East,2000.0,True
6500000.0,590.0,2,2.0,1.0,3.0,7.0,22.0,0.3181818181818182,5983742.342391305,11238531.74308094,90,5,East,3000.0,True
4500000.0,542.0,2,2.0,1.0,2.0,8.0,14.0,0.5714285714285714,5983742.342391305,11238531.74308094,90,5,East,3.0,True
4399500.0,476.0,1,2.0,2.0,2.0,8.0,23.0,0.3478260869565217,5983742.342391305,11238531.74308094,90,5,East,3.0,True
3400000.0,435.0,1,1.0,1.0,1.0,4.0,7.0,0.5714285714285714,4254938.920454546,11238531.74308094,0,0,East,2500.0,True
4545000.0,494.0,1,2.0,2.0,2.0,12.0,20.0,0.6,4254938.920454546,11238531.74308094,90,5,East,1500.0,True
4900000.0,531.0,1,1.0,1.0,1.0,10.0,22.0,0.4545454545454545,4254938.920454546,11238531.74308094,90,5,East,3.0,True
2616500.0,376.0,1,1.0,1.0,2.0,3.0,7.0,0.4285714285714285,4254938.920454546,11238531.74308094,9,0,North - East,1200.0,True
3535000.0,405.0,1,2.0,2.0,1.0,3.0,20.0,0.15,4254938.920454546,11238531.74308094,89,5,East,2000.0,True
3299000.0,399.0,1,1.0,1.0,1.0,8.0,23.0,0.3478260869565217,4254938.920454546,11238531.74308094,90,5,North - East,1200.0,True
5050000.0,602.0,2,2.0,1.0,2.0,10.0,23.0,0.4347826086956521,4254938.920454546,11238531.74308094,90,5,East,1400.0,True
4646000.0,645.0,2,2.0,1.0,2.0,10.0,15.0,0.6666666666666666,4254938.920454546,11238531.74308094,89,5,East,1900.0,True
